Data i Godzina;Parking;Wolne miejsca
2026-04-28 21:30:40;P+R Górka Narodowa;411
2026-04-28 21:30:40;P+R Pachońskiego;81
2026-04-28 21:30:40;P+R Krowodrza Górka;87
2026-04-28 21:30:40;P+R Czerwone Maki;163
2026-04-28 21:30:40;P+R Mały Płaszów;146
2026-04-28 21:30:40;P+R Nowy Bieżanów;91
2026-04-28 21:30:40;P+R Kurdwanów;145
2026-04-28 22:00:53;P+R Górka Narodowa;419
2026-04-28 22:00:53;P+R Pachońskiego;83
2026-04-28 22:00:53;P+R Krowodrza Górka;91
2026-04-28 22:00:53;P+R Czerwone Maki;165
2026-04-28 22:00:53;P+R Mały Płaszów;147
2026-04-28 22:00:53;P+R Nowy Bieżanów;93
2026-04-28 22:00:53;P+R Kurdwanów;146
2026-04-28 22:30:47;P+R Górka Narodowa;426
2026-04-28 22:30:47;P+R Pachońskiego;87
2026-04-28 22:30:47;P+R Krowodrza Górka;96
2026-04-28 22:30:47;P+R Czerwone Maki;170
2026-04-28 22:30:47;P+R Mały Płaszów;148
2026-04-28 22:30:47;P+R Nowy Bieżanów;94
2026-04-28 22:30:47;P+R Kurdwanów;150
2026-04-28 23:00:52;P+R Górka Narodowa;431
2026-04-28 23:00:52;P+R Pachońskiego;88
2026-04-28 23:00:52;P+R Krowodrza Górka;101
2026-04-28 23:00:52;P+R Czerwone Maki;173
2026-04-28 23:00:52;P+R Mały Płaszów;149
2026-04-28 23:00:52;P+R Nowy Bieżanów;95
2026-04-28 23:00:52;P+R Kurdwanów;152
2026-04-28 23:30:43;P+R Górka Narodowa;434
2026-04-28 23:30:43;P+R Pachońskiego;88
2026-04-28 23:30:43;P+R Krowodrza Górka;101
2026-04-28 23:30:43;P+R Czerwone Maki;174
2026-04-28 23:30:43;P+R Mały Płaszów;151
2026-04-28 23:30:43;P+R Nowy Bieżanów;96
2026-04-28 23:30:43;P+R Kurdwanów;152
2026-04-29 00:00:44;P+R Górka Narodowa;434
2026-04-29 00:00:44;P+R Pachońskiego;88
2026-04-29 00:00:44;P+R Krowodrza Górka;101
2026-04-29 00:00:44;P+R Czerwone Maki;177
2026-04-29 00:00:44;P+R Mały Płaszów;152
2026-04-29 00:00:44;P+R Nowy Bieżanów;97
2026-04-29 00:00:44;P+R Kurdwanów;154
